,product_name,prices,processor brand,processor name,ram,graphic card,operating system
0,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq4022TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.69 Kg, With MS Office)","₹55,999",Intel,Core i5,8 GB,Intel Integrated Iris Xe Graphics,Windows 11 Home
1,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 KG, With MS Office)","₹42,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home
2,"ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹39,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home
3,"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)","₹37,490",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home
4,"DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X9K0T Thin and Light Laptop  (15.6 inch, Black, 1.8 kg, With MS Office)","₹41,490",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home
5,"acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA Gaming Laptop  (15.6 inch, Black, 2.15 Kg)","₹52,940",Intel,Core i5,8 GB,NVIDIA GeForce GTX 1650,Windows 10 Home
6,"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","₹38,990",AMD,Ryzen 3 Dual Core,8 GB,AMD Radeon AMD,Windows 10 Home
7,"ASUS VivoBook 14 Pentium Silver - (4 GB/256 GB SSD/Windows 11 Home) X415KA-EK111WS Thin and Light Laptop  (14 Inch, Transparent Silver, 1.50 Kg, With MS Office)","₹29,990",Intel,Pentium Silver,4 GB,Intel Integrated UHD Graphics 600,Windows 11 Home
8,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹38,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home
9,"HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-ec2004AX Gaming Laptop  (15.6 inch, Shadow Black, 1.98 kg)","₹59,940",AMD,Ryzen 5 Hexa Core,8 GB,NVIDIA GeForce GTX 1650,Windows 11 Home
